IDRSSD,date,Financial Institution Name,Institution Name ,defaulter,Failure / Assistance ,total_assets,company ratio 1,company ratio 2,company ratio 3,company ratio 4,company ratio 5,MEV 1,MEV 2,default_within_1Y,Failure,num_records,non_defaulter,const
210434,9/30/2014,"NORTHERN TRUST COMPANY, THE",,0,,110796209,4.861653899,0.001004875,0.001004875,-2.185338284,0.394543681,0.155788351,0.482789546,0,,60,1,1
146672,6/30/2013,"FLAGSTAR BANK, FSB",,0,,12720666,3.265480194,0.552321406,0.552321406,-1.663116387,-0.575119435,-0.400396348,-0.387875336,0,,16,1,1
547279,9/30/2009,"COWLITZ BANK, THE",THE COWLITZ BANK,1,FAILURE,577835,0.985525189,-1.262289474,-1.262289474,-0.852869256,-0.263635433,1.175460299,-0.722746445,1,1,37,0,1
3303298,3/31/2013,"RBS CITIZENS, NATIONAL ASSOCIATION",,0,,105114761,4.822834908,-0.049875234,-0.049875234,-0.890204154,-0.184034598,-0.400396348,-0.387875336,0,,43,1,1
811046,6/30/2009,"BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",,0,,2492072,2.063361144,-0.126573485,-0.126573485,-0.674610653,-0.272124976,1.08276285,-1.928282436,0,,60,1,1
754433,9/30/2008,MUTUAL BANK,MUTUAL BANK,1,FAILURE,1678284,1.77181767,-0.643668492,-0.643668492,-1.035649795,-0.368638579,0.248485801,-2.86592154,1,1,33,0,1
92630,3/31/2009,FLORIDA COMMUNITY BANK,FLORIDA COMMUNITY BANK,1,FAILURE,957463,1.357933986,-1.325739577,-1.325739577,-2.302879853,-0.181590327,1.08276285,-1.928282436,1,1,35,0,1
770367,6/30/2008,COMMUNITY BANK,,0,,2301869,2.004813103,0.076640807,0.076640807,-0.154581821,0.598013222,0.155788351,-0.253926893,0,,60,1,1
1401529,3/31/2002,FIRST NATIONAL BANK OF FLORIDA,,0,,2527101,2.073654625,-0.000845075,-0.000845075,0.17177146,1.50893935,1.268157749,-0.119978449,0,,15,1,1
785062,12/31/2002,"PACIFIC CAPITAL BANK, NATIONAL ASSOCIATION",,0,,4210539,2.450133495,0.070764732,0.070764732,0.785007318,0.238192573,0.433880701,0.951609098,0,,46,1,1
2636083,12/31/2009,PARAMOUNT BANK,PARAMOUNT BANK,1,FAILURE,288263,0.472694774,-2.562198436,-2.562198436,-0.67853629,0.107507676,1.08276285,1.01858332,1,1,38,0,1
2998660,3/31/2012,1ST REGENTS BANK,1ST REGENTS BANK,1,FAILURE,56189,-0.733140134,-0.978807916,-0.978807916,-0.513620412,-1.70437654,-0.585791248,-0.52182378,1,1,46,0,1
361457,6/30/2008,FIRST NATIONAL BANK OF ANTHONY,FIRST NATIONAL BANK OF ANTHONY,1,FAILURE,176984,0.112958817,-1.378372878,-1.378372878,-0.258309545,0.331795495,0.155788351,-0.253926893,1,1,32,0,1
2352507,9/30/2008,BANKFIRST,BANKFIRST,1,FAILURE,319968,0.549645492,-4.521699214,-4.521699214,-2.408794292,-1.257232022,0.248485801,-2.86592154,1,1,33,0,1
934329,12/31/2008,"BNY MELLON, NATIONAL ASSOCIATION",,0,,7557194,2.881471947,-1.787024419,-1.787024419,-1.283901547,-0.469227206,1.08276285,-1.928282436,0,,60,1,1
